service_id,date,exception_type
C22456AHCCsZ-081,20201209,1
C22456AHCCsZ-081,20201210,1
C22456AHCCsZ-081,20201211,1
C22456AHCCsZ-081,20201214,1
C22456AHCCsZ-081,20201215,1
C22456AHCCsZ-081,20201216,1
C22456AHCCsZ-081,20201217,1
C22456AHCCsZ-081,20201221,1
C22456AHCCsZ-081,20201222,1
C22457APPCsZ-081,20201113,1
C22457APPCsZ-081,20201120,1
C22457APPCsZ-081,20201127,1
C22457APPCsZ-081,20201204,1
C22457APPCsZ-081,20201218,1
C22457APPCsZ-081,20210101,1
C22464RA2SZSzN-021,20201121,1
C22464RA2SZSzN-021,20201128,1
C22464RA2SZSzN-021,20201205,1
C22464RA2SZSzN-021,20201219,1
C22465RA2VVSzN-021,20201122,1
C22465RA2VVSzN-021,20201129,1
C22465RA2VVSzN-021,20201206,1
C22465RA2VVSzN-021,20201213,1
C22465RA2VVSzN-021,20201220,1
C22467RAASZtz-0011,20201121,1
C22467RAASZtz-0011,20201128,1
C22467RAASZtz-0011,20201205,1
C22467RAASZtz-0011,20201219,1
C22469RAAHPLE-0061,20201109,1
C22469RAAVCLE-0061,20201108,1
C22471RA1SZSZU-021,20201114,1
C22472RAASVJOP-011,20201108,1
C22472RAASVJOP-011,20201114,1
C22472RAASVJOP-011,20201115,1
C22474RA1VVSZU-021,20201108,1
C22474RA1VVSZU-021,20201115,1
C22475RA1SZKVA-021,20201114,1
C22482RA2SZSzN-031,20201121,1
C22482RA2SZSzN-031,20201128,1
C22482RA2SZSzN-031,20201205,1
C22482RA2SZSzN-031,20201219,1
C22484RA1SZKVA-021,20201114,1
C22489RA2VVSzN-031,20201122,1
C22489RA2VVSzN-031,20201129,1
C22489RA2VVSzN-031,20201206,1
C22489RA2VVSzN-031,20201213,1
C22489RA2VVSzN-031,20201220,1
C22490RAAVVtz-0011,20201122,1
C22490RAAVVtz-0011,20201129,1
C22490RAAVVtz-0011,20201206,1
C22490RAAVVtz-0011,20201213,1
C22490RAAVVtz-0011,20201220,1
C22495REHCIGy-011,20201109,1
C22506RAAHCLE-0041,20201109,1
C22511AHCBR-0021,20201109,1
C22511AHCBR-0021,20201110,1
C22511AHCBR-0021,20201111,1
C22511AHCBR-0021,20201112,1
C22511AHCBR-0021,20201116,1
C22511AHCBR-0021,20201117,1
C22511AHCBR-0021,20201118,1
C22511AHCBR-0021,20201119,1
C22511AHCBR-0021,20201123,1
C22511AHCBR-0021,20201124,1
C22511AHCBR-0021,20201125,1
C22511AHCBR-0021,20201126,1
C22511AHCBR-0021,20201130,1
C22511AHCBR-0021,20201201,1
C22511AHCBR-0021,20201202,1
C22511AHCBR-0021,20201203,1
C22511AHCBR-0021,20201207,1
C22511AHCBR-0021,20201208,1
C22511AHCBR-0021,20201209,1
C22511AHCBR-0021,20201210,1
C22511AHCBR-0021,20201211,1
C22511AHCBR-0021,20201214,1
C22511AHCBR-0021,20201215,1
C22511AHCBR-0021,20201216,1
C22511AHCBR-0021,20201217,1
C22511AHCBR-0021,20201221,1
C22511AHCBR-0021,20201222,1
C22514APPBR-0021,20201113,1
C22514APPBR-0021,20201120,1
C22514APPBR-0021,20201127,1
C22514APPBR-0021,20201204,1
C22514APPBR-0021,20201218,1
C22516AHCMAA-051,20201109,1
C22516AHCMAA-051,20201110,1
C22516AHCMAA-051,20201111,1
C22516AHCMAA-051,20201112,1
C22516AHCMAA-051,20201116,1
